Product Name,Category,Brand,Price in Rupees,Stock,Description
Dettol,Medicine,Reckitt,75,800,Antiseptic liquid for wound cleaning first aid 100ml
Betadine,Medicine,Win-Medicare,95,600,Antiseptic ointment for cuts burns wound care 20g
Moov,Medicine,Reckitt,120,550,Pain relief cream for muscle joint back pain 50g
Iodex,Medicine,Glaxo,110,500,Balm for body pain headache cold relief 40g
Hajmola,Medicine,Dabur,15,1800,Digestive tablets for indigestion bloating relief pack of 30
Pudin Hara,Medicine,Dabur,35,700,Herbal drops for stomach ache gas acidity relief 30ml
Dabur Chyawanprash,Medicine,Dabur,250,400,Immunity booster health supplement Ayurvedic 500g
Patanjali Honey,Medicine,Patanjali,180,500,Pure honey immunity booster 500g
Amla Juice,Medicine,Patanjali,120,400,Fresh amla juice vitamin C rich 500ml
Ashwagandha,Medicine,Patanjali,200,300,Stress relief energy booster tablets pack of 60
Hand Soap,Personal Care,Dove,45,300,Moisturizing hand soap with cream 75g
Toothpaste,Personal Care,Colgate,89,400,Cavity protection toothpaste 200g
Hair Dryer,Personal Care,Philips,1999,80,Compact and lightweight hair dryer
Trimmer,Personal Care,Mi,1499,100,Rechargeable beard trimmer with adjustable comb
Shampoo,Personal Care,Head & Shoulders,349,200,Anti-dandruff shampoo 1L bottle
Conditioner,Personal Care,Tresemme,299,180,Moisturizing conditioner for smooth hair
Face Wash,Personal Care,Himalaya,149,250,Gentle face wash with natural ingredients
Body Wash,Personal Care,Dove,199,300,Deep moisture body wash 200ml
Lipstick,Beauty,Lakme,499,200,Long-lasting matte lipstick in vibrant shades
Nail Polish,Beauty,Maybelline,199,300,Quick-dry nail polish with glossy finish
Face Cream,Beauty,Ponds,249,200,Nourishing moisturizer for dry skin
Body Lotion,Beauty,Nivea,299,150,Hydrating body lotion with aloe vera
Face Mask,Beauty,Nykaa,99,400,Sheet face mask for glowing skin
Kajal,Beauty,Lakme,150,500,Black kajal eye liner long lasting
Yoga Mat,Fitness,Kobo,1299,80,Non-slip yoga mat with carry strap
Dumbbells,Fitness,Cultsport,1999,50,Adjustable dumbbells pair
Treadmill,Fitness,PowerMax,49999,10,Foldable treadmill with heart rate monitor
Protein Powder,Fitness,MuscleBlaze,1200,150,Whey protein muscle building 1kg
Multivitamin,Fitness,Revital,350,400,Daily multivitamin tablets pack of 30
Cycle,Outdoor,Hercules,7999,30,Mountain bike with 21-speed gears
Tennis Racket,Sports,Wilson,2999,50,Lightweight tennis racket with cover
Football,Sports,Nivia,799,200,Standard size 5 football
Cricket Bat,Sports,SG,4999,30,English willow cricket bat
Badminton Shuttlecock,Sports,Yonex,299,300,Feather shuttlecocks pack of 6
Table Tennis Bat,Sports,Stiga,1499,50,Professional table tennis bat
Chess Board,Games,Funskool,499,150,Wooden chess board with chessmen
Carrom Board,Games,Precise,1999,30,Full-size carrom board with coins
Monopoly Board Game,Games,Hasbro,2499,50,Classic Monopoly board game
Puzzle Game,Games,Ravensburger,1499,60,1000-piece jigsaw puzzle
Plant Pot,Garden,Generic,399,100,Decorative plant pot with drainage hole
Garden Tools,Garden,Falcon,1999,30,5-piece gardening tool set
Fertilizer,Garden,IFFCO,599,80,Organic fertilizer 5kg pack
Seeds,Garden,Ankur,149,200,Vegetable seeds assortment pack
Dog Food,Pets,Pedigree,2499,50,Premium dog food for adult dogs 10kg pack
Cat Litter,Pets,Whiskas,799,80,Clumping cat litter 10L pack
Fish Food,Pets,Hikari,399,100,Nutritious fish food 500g pack
Bird Cage,Pets,Generic,2999,20,Spacious bird cage with accessories
Hamster Wheel,Pets,Pawzone,999,40,Silent exercise wheel for hamsters
Toy Car,Toys,Hot Wheels,199,300,Miniature toy car single pack
Doll Set,Toys,Barbie,2999,50,Barbie doll set with accessories
Lego Blocks,Toys,Lego,4999,20,Creative Lego building block set
Board Book,Books,Peppa Pig,299,150,Interactive board book for toddlers
Novel,Books,HarperCollins,499,80,Bestselling fiction novel
Notebook,Stationery,Classmate,60,300,Single-line notebook 200 pages
Pen,Stationery,Parker,799,100,Fine writing pen with refill
Calculator,Stationery,Casio,2499,50,Scientific calculator with 240 functions
Markers,Stationery,Camlin,149,200,Set of 12 colorful markers
Glue Stick,Stationery,Fevicol,49,400,Quick-drying glue stick 15g
Stapler,Stationery,Kangaro,299,150,Durable stapler with staple pins
Whiteboard,Office Supplies,Flipkart,1299,30,Magnetic whiteboard with marker and duster
Laptop Stand,Accessories,Amazon Basics,1999,80,Ergonomic laptop stand for desks
Portable Charger,Electronics,Anker,2999,120,High-capacity portable charger with fast charging
Bluetooth Earbuds,Electronics,OnePlus,4999,150,Wireless earbuds with noise isolation
Car Vacuum Cleaner,Automotive,Bergmann,3499,50,Compact vacuum cleaner for cars
Detergent,Cleaning,Surf Excel,549,160,Advanced cleaning powder 4kg pack
Floor Cleaner,Cleaning,Lizol,180,400,Disinfectant floor cleaner 1L
Toilet Cleaner,Cleaning,Harpic,95,500,Toilet bowl cleaner 500ml
Glass Cleaner,Cleaning,Colin,120,350,Glass and surface cleaner 500ml
Mosquito Repellent,Cleaning,Good Knight,150,600,Electric mosquito repellent machine
Air Freshener,Cleaning,Room Fresh,200,400,Room spray air freshener 300ml
